0,1,8,87,87.1,87.2,246,260,301,312,470,474,490,508,508.1,508.2,557,596,633,633.1,633.2,633.3,634,634.1,702.1,702.2,702.3,702.4,702.5,702.6,702.7,702.8,702.9,702.1,702.11,702.12,702.13,702.14,702.15,702.16,702.17,702.18,702.19,$<icat1:3>,41,551,600,600.1,600.2,600.3,600.4,600.5,600.6,600.7,600.8,600.9,600.1
am     a,CKEY8219966,181023n                      000 0 eng u,C1645/54,,,"Marlene and Billy VerPlanck interviewed by Stan Britt (1st interview, part 3)",23/11/1987,31 min. 34 sec.,a,,,Stan Britt collection,"Stan Britt interviews singer Marlene VerPlanck and her husband Billy. They discuss, amongst other things, how Marlene prepares for a gig and adds something new to each performance of a song. Marlene and Billy are also asked to talk about what the music of Peggy Lee means to them.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"VerPlanck, Marlene, 1933-2018 (speaker, female; interviewee)","VerPlanck, Billy, 1930-2009","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,POP,eng,"Collin House, Ebury Street, London, England, UK","VerPlanck, Marlene, 1933-2018","VerPlanck, Billy, 1930-2009","Lee, Peggy, 1920-2002",,,,,,,,
am     a,CKEY8219945,181023n                      000 0 eng u,C1645/54,,,Henry Lowther interviewed by Stan Britt (1st interview),07/07/1985,31 min. 10 sec.,a,,,Stan Britt collection,"Stan Britt interviews Henry Lowther about, among other things, how he adapts to different bands and different styles of playing with people like John Warren's big band and Peter King's quintet.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Lowther, Henry, 1941- (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,"Pendley Manor Hotel, Hertfordshire, England, UK","Lowther, Henry, 1941-","Warren, John, 1938-",John Warren Band,"King, Peter, 1940-",,,,,,,
am     a,CKEY8219964,181023n                      000 0 eng u,C1645/54,,,[Unidentified speaker interviewed by Stan Britt],not after 2014,0 min. 24 sec.,a,,,Stan Britt collection,A short fragment of an interview between Stan Britt and an unidentified male speaker talking about their oppinions of a musician called Dexter.,,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"unidentified- speaker, male; (interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,,,,,,,,,,,,
am     a,CKEY8220019,181023n                      000 0 eng u,C1645/55,,,Ol' blue eyes,not after 2014,7 min. 14 sec.,a,,,Stan Britt collection,"A dubbing of the song ""ol' blue eyes"" from Tina May's commercial album 'never let me go' (33 records, 1992).",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (singer, female)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220021,181023n                      000 0 eng u,C1645/55,,,Lazy afternoon,not after 2014,5 min. 22 sec.,a,,,Stan Britt collection,"A dubbing of the song ""lazy afternoon"" from Tina May's commercial album 'never let me go' (33 records, 1992).",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (singer, female)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220023,181023n                      000 0 eng u,C1645/55,,,Lush life,not after 2014,7 min. 34 sec.,a,,,Stan Britt collection,"A dubbing of the song ""lush life"" from Tina May's commercial album 'never let me go' (33 records, 1992).",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (singer, female)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220024,181023n                      000 0 eng u,C1645/55,,,Sister Cheryl,not after 2014,8 min. 11 sec.,a,,,Stan Britt collection,"A dubbing of the song ""sister Cheryl"" from Tina May's commercial album 'never let me go' (33 records, 1992).",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (singer, female)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220025,181023n                      000 0 eng u,C1645/55,,,Choices,not after 2014,5 min. 03 sec.,a,,,Stan Britt collection,"A dubbing of the song ""choices"" from Tina May's commercial album 'never let me go' (33 records, 1992).",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (singer, female)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220027,181023n                      000 0 eng u,C1645/55,,,A rose without a thorn,not after 2014,7 min. 36 sec.,a,,,Stan Britt collection,"A dubbing of the song ""a rose without a thorn"" from Tina May's commercial album 'never let me go' (33 records, 1992).",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (singer, female)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220004,181023n                      000 0 eng u,C1645/55,,,Never let me go - Tina May,not after 2014,1 hr. 01 min. 20 sec.,a,,,Stan Britt collection,"A dubbing of Tina May's commercial album 'never let me go' (33 records, 1992).",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (singer, female)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220028,181023n                      000 0 eng u,C1645/55,,,I believe in you,not after 2014,5 min. 55 sec.,a,,,Stan Britt collection,"A dubbing of the song ""I believe in you"" from Tina May's commercial album 'never let me go' (33 records, 1992).",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (singer, female)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220029,181023n                      000 0 eng u,C1645/55,,,Never let me go,not after 2014,3 min. 16 sec.,a,,,Stan Britt collection,"A dubbing of the song ""never let me go"" from Tina May's commercial album of the same title (33 records, 1992).",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (singer, female)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220030,181023n                      000 0 eng u,C1645/55,,,Caravan,not after 2014,8 min. 15 sec.,a,,,Stan Britt collection,"A dubbing of the song ""caravan"" from Tina May's commercial album 'never let me go' (33 records, 1992).",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (singer, female)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220031,181023n                      000 0 eng u,C1645/55,,,Only the lonely,not after 2014,2 min. 58 sec.,a,,,Stan Britt collection,"A dubbing of the song ""only the lonely"" from Tina May's commercial album 'never let me go' (33 records, 1992).",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (singer, female)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220034,181023n                      000 0 eng u,C1645/55,,,Isn't it a pity,not after 2014,4 min. 23 sec.,a,,,Stan Britt collection,"A dubbing of the song ""isn't it a pity"" from Teddi King and Dave McKenna's commercial album ""...This is new"" (Inner City Records, 1978). Not all songs from the record are included.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"King, Teddi (singer, female)","McKenna, Dave, 1930- (piano)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220032,181023n                      000 0 eng u,C1645/55,,,...This is new - Teddi King / Dave Mckenna,not after 2014,24 min. 21 sec.,a,,,Stan Britt collection,"A dubbing of Teddi King and Dave McKenna's commercial album ""...This is new"" (Inner City Records, 1978). Not all songs from the record are included.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"King, Teddi (singer, female)","McKenna, Dave, 1930- (piano)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220036,181023n                      000 0 eng u,C1645/55,,,Fun to be fooled,not after 2014,3 min. 53 sec.,a,,,Stan Britt collection,"A dubbing of the song ""fun to be fooled"" from Teddi King and Dave McKenna's commercial album ""...This is new"" (Inner City Records, 1978). Not all songs from the record are included.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"King, Teddi (singer, female)","McKenna, Dave, 1930- (piano)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220037,181023n                      000 0 eng u,C1645/55,,,This is new,not after 2014,2 min. 26 sec.,a,,,Stan Britt collection,"A dubbing of the song ""this is new"" from Teddi King and Dave McKenna's commercial album ""...This is new"" (Inner City Records, 1978). Not all songs from the record are included.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"King, Teddi (singer, female)","McKenna, Dave, 1930- (piano)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220038,181023n                      000 0 eng u,C1645/55,,,How long has this been going on,not after 2014,4 min. 05 sec.,a,,,Stan Britt collection,"A dubbing of the song ""how long has this been going on"" from Teddi King and Dave McKenna's commercial album ""...This is new"" (Inner City Records, 1978). Not all songs from the record are included.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"King, Teddi (singer, female)","McKenna, Dave, 1930- (piano)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220039,181023n                      000 0 eng u,C1645/55,,,But not for me,not after 2014,3 min. 33 sec.,a,,,Stan Britt collection,"A dubbing of the song ""but not for me"" from Teddi King and Dave McKenna's commercial album ""...This is new"" (Inner City Records, 1978). Not all songs from the record are included.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"King, Teddi (singer, female)","McKenna, Dave, 1930- (piano)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220040,181023n                      000 0 eng u,C1645/55,,,My ship,not after 2014,3 min. 49 sec.,a,,,Stan Britt collection,"A dubbing of the song ""my ship"" from Teddi King and Dave McKenna's commercial album ""...This is new"" (Inner City Records, 1978). Not all songs from the record are included.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"King, Teddi (singer, female)","McKenna, Dave, 1930- (piano)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220041,181023n                      000 0 eng u,C1645/55,,,I can't be bothered now,not after 2014,2 min. 09 sec.,a,,,Stan Britt collection,"A dubbing of the song ""I can't be bothered now"" from Teddi King and Dave McKenna's commercial album ""...This is new"" (Inner City Records, 1978). Not all songs from the record are included.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"King, Teddi (singer, female)","McKenna, Dave, 1930- (piano)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220046,181023n                      000 0 eng u,C1645/56,,,Tina May interviewed by Stan Britt (1st interview),28/11/1991,42 min. 48 sec.,a,,,Stan Britt collection,"Stan Britt interviews jazz singer Tina May and Clark Tracey about, among many things, May's album ""never let me go"". They talk about her processes for choosing jazz songs to sing, particularly about what she looks for in a good lyric, as well as some of her favourite singers and influences including Sarah Vaughan and Ella Fitzgerald.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"May, Tina, 1961- (speaker, female; interviewee)","Tracey, Clark, 1961- (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,POP,eng,"London Colney, St Albans, Hertfordshire, England, UK","May, Tina, 1961-","Vaughan, Sarah, 1924-1990","Fitzgerald, Ella, 1917-1996",,,,,,,,
am     a,CKEY8220054,181023n                      000 0 eng u,C1645/56,,,[Unidentified dubbings],not after 2014,21 min. 35 sec.,a,,,Stan Britt collection,"A selection of folk and pop songs probably dubbed from commercial albums, including a few songs by Paul Brady.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,,,,,Category: Popular music. Jazz,,"Brady, Paul (singer, male)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8219909,181023n                      000 0 eng u,C1645/57,C1645/53,,"Marlene and Billy VerPlanck interviewed by Stan Britt (2nd interview, part 1 and 2)",25/11/1987,1 hr. 07 min. 07 sec.,a,,,Stan Britt collection,"Stan Britt interviews singer Marlene VerPlanck and her husband Billy. Among many topics covered, they talk about what it's like to work as a husband and wife team with Marlene performing and Billy arranging and producing. They also discuss arrangements from Robert Farnon, and the singing voices of Julius La Rosa and Frank Sinatra.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"VerPlanck, Marlene, 1933-2018 (speaker, female; interviewee)","VerPlanck, Billy, 1930-2009","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,POP,eng,"Collin House, Ebury Street, London, England, UK","VerPlanck, Marlene, 1933-2018","VerPlanck, Billy, 1930-2009","Farnon, Robert, 1917-2005","La Rosa, Julius, 1930-2016","Sinatra, Frank, 1915-1998",,,,,,
am     a,CKEY8219934,181023n                      000 0 eng u,C1645/57,,,Loonis McGlohon interviewed by Stan Britt,24/11/1987,47 min. 29 sec.,a,,,Stan Britt collection,"American songwriter Loonis McGlohon talks to Stan Britt about his career in music. He discusses his performing trio and its various members through the years, as well as his working and personal relationships with other artists, composers and singers including Dick Haymes, Maxine Sullivan and Alec Wilder. He reminisces about his time working on scores for a version of the Wizard of Oz musical. Stan finishes by asking Alec to evaluate the work of Frank Sinatra.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"McGlohon, Loonis, 1921-2002 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,"Royal Garden Hotel, London, England, UK","McGlohon, Loonis, 1921-2002","Haymes, Dick, 1918-1980","Sinatra, Frank, 1915-1998",,,,,,,,
am     a,CKEY8256055,181023n                      000 0 eng u,C1645/59,C1645/373,,Robert Parker interviewed by Stan Britt (1st interview),29/05/1986,1 hr. 02 min. 45 sec.,a,,,Stan Britt collection,Stan Britt interviews jazz broadcaster and sound engineer Robert Parker. Topics of discussion include: differences in the sound quality of old and 'new' (at time of recording) sound carriers; transfering and restoring old jazz 78s into a digital format; the equipment Robert uses to restore and enhance recordings at his company 'Vintage Productions'; his favourite records that he has restored.,,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,,,,,Category: Popular music. Jazz,,"Parker, Robert (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,"BBC Records, London, England, UK","Parker, Robert",,,,,,,,,,
am     a,CKEY8220617,181023n                      000 0 eng u,C1645/60,,,Tribute to Stan Kenton (BBC),13/06/1905,58 min. 10 sec.,a,BBC Radio 2,Stan Kenton,Stan Britt collection,"Sheila Tracy presents a special programme on BBC Radio 2 paying tribute to composer, arranger and bandleader Stan Kenton and his jazz orchestra. Tracy speaks to many of the bands' past members who share memories, experiences and opinions of their time with Stan and the band.","According to the tape box, this was recorded in 1991, and this matches a BBC Radio 2 broadcast on 3rd December 1991.",,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,Radio programmes,,,Category: Popular music. Jazz,,"Tracy, Sheila 1934-2014 (speaker, female; presenter)","Childers, Buddy, 1926-2007 (speaker, male)","O'Day, Anita, 1919-2006 (speaker, female)","Costanzo, Jack (speaker, male)","Cooper, Bob, 1925- (speaker, male)","Holman, Bill, 1927- (speaker, male)","Russo, William, 1928-2003 (speaker, male)","Niehaus, Lennie, 1929- (speaker, male)","Rugolo, Pete, 1915- (speaker, male)","Bernhart, Milt, 1926- (speaker, male)","O'Day, Anita, 1919-2006 (speaker, female)","Page, Barbara (producer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,"Kenton, Stan, 1911-1979",,,,,,,,,,
am     a,CKEY8220757,181023n                      000 0 eng u,C1645/61,,,John Keating interviewed by Stan Britt (1st interview),not after 2014,24 min. 00 sec.,a,,,Stan Britt collection,"Stan Britt interviews Scottish composer and arranger Johnny (John) Keating about, among many things, the TV/film music and albums he has worked on, his transition into classical music, his processes for composing and arranging, and his aspirations for the future.",Occasionally an unidentified female speaker interjects.,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Keating, Johnny, 1927-2015 (speaker, male; interviewee)","unidentified (speaker, female)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,POP,eng,,"Keating, Johnny, 1927-2015",,,,,,,,,,
am     a,CKEY8220787,181023n                      000 0 eng u,C1645/61,,,"Thad Jones interviewed by Stan Britt (1st interview, part 3) [COPY]",29/05/1905,10 min. 00 sec.,a,,,Stan Britt collection,Stan Britt interviews Thad Jones. They discuss how the bands Jones worked with shaped his playing style and gave him more exposure as a soloist.,,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Jones, Thad, 1923-1986 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,"A&M Records, Mortimer Street, London, England, UK","Jones, Thad, 1923-1986",,,,,,,,,,
am     a,CKEY8220798,181023n                      000 0 eng u,C1645/62,,,From Hoboken to Hollywood,24/12/1985,57 min. 33 sec.,a,BBC Radio 2 1985-12-24 18:00-19:00,Sinatra: a man and his music. [1],Stan Britt collection,"Benny Green presents ""from Hoboken to Hollywood"", the first of three programmes focusing on the life and career of Frank Sinatra. Green plays a selection of Sinatra's performances and comments about his early career and his journey to fill the singing role held for so many years by Bing Crosby. Green also introduces excerpts from interviews with Sinatra and those who worked with him to illustrate his points. Speakers include: Nelson Riddle, Jo Stafford, Sy Oliver, Gene Kelly and Frank Sinatra himself.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,Radio programmes,,,Category: Popular music. Jazz,,"Green, Benny, 1927-1998 (speaker, male; presenter)","Sinatra, Frank, 1915-1998 (speaker, male)","Riddle, Nelson, 1921-1985 (speaker, male)","Stafford, Jo, 1920- (speaker, female)","Oliver, Sy, 1910-1988 (speaker, male)","Kelly, Gene, 1912-1996 (speaker, male)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,POP,,,"Sinatra, Frank, 1915-1998",,,,,,,,,,
am     a,CKEY8220867,181023n                      000 0 eng u,C1645/62,,,The tower on sunset and vine,24/12/1985,58 min. 55 sec.,a,BBC Radio 2 1985-12-25 18:00-19:00,Sinatra: a man and his music. [2],Stan Britt collection,"Benny Green presents ""the tower on sunset and vine"", the second of three programmes focusing on the life and career of Frank Sinatra. Green plays a selection of Sinatra's performances and comments about his rise to fame with many albums recorded in the Capital Tower. Green also plays excerpts from interviews with Sinatra and many people who worked with him to illustrate his points. Speakers include: Jule Styne, Paul Francis Webster, Sammy Cahn, Nelson Riddle, Gordon Jenkins and Frank Sinatra himself.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,Radio programmes,,,Category: Popular music. Jazz,,"Green, Benny, 1927-1998 (speaker, male; presenter)","Sinatra, Frank, 1915-1998 (speaker, male)","Styne, Jule, 1905-1994 (speaker, male)","Webster, Paul Francis, 1907-1984 (speaker, male)","Cahn, Sammy, 1913-1993 (speaker, male)","Riddle, Nelson, 1921-1985 (speaker, male)","Jenkins, Gordon, 1910-1984 (speaker, male)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,POP,,,"Sinatra, Frank, 1915-1998",,,,,,,,,,
am     a,CKEY8220874,181023n                      000 0 eng u,C1645/63,,,Further definitions (recital tape),not after 2014,1 hr. 32 min. 29 sec.,a,,,Stan Britt collection,"A selection of unidentified unannounced instrumental jazz songs. It is not clear what the titles of these songs are, who wrote and performed them, or how they were recorded (off air radio or dubbings of commercial publications). It is possible (based on the tape label) that these are recitals for the Benny Carter album ""further definitions"".",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220906,181023n                      000 0 eng u,C1645/64,,,Carol Kidd and Stan Britt on Radio Thamesmead,not after 2014,43 min. 03 sec.,a,Radio Thamesmead,,Stan Britt collection,"Richard Goldbourne introduces Carol Kidd and Stan Britt live on Radio Thamesmead to discuss Carol's career and influences, and to play some a selection of her popular songs.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,Radio programmes,,,Category: Popular music. Jazz,,"Goldbourne, Richard (speaker, male; presenter)","Kidd, Carol, 1945- (speaker, female)","Britt, Stan, 1935-2014 (speaker, male)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8220950,181023n                      000 0 eng u,C1645/65,,,[Frank Sinatra Jr.'s message to Sid Mark],not after 2014,8 min. 10 sec.,a,,,Stan Britt collection,"On the 40th anniversary of Sid Mark's weekly shows dedicated to Frank Sinatra, Frank's son Frank Sinatra Jr. broadcasts a speacial message to thank Sid for his commitment and hard work. This is followed by a compilation of excerpts from celebrities announcing Sid Mark's Sinatra show.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,Radio programmes,,,Category: Popular music. Jazz,,"Sinatra, Frank, 1944-2016","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,"Mark, Sid","Sinatra, Frank, 1915-1998",,,,,,,,,
am     a,CKEY8220957,181023n                      000 0 eng u,C1645/65,,,Soliloquy (carousel),not after 2014,5 min. 55 sec.,a,,,Stan Britt collection,"Based on the tape labels, these are probably recordings of Frank Sinatra reciting the songs ""soliloquy"" from the musical ""carousel"". Excerpts of the song sung by Frank can be heard with part and take number announcements in between.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"Sinatra, Frank, 1915-1998 (singer, male)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8221026,181023n                      000 0 eng u,C1645/66,,,Dexter Gordon interviewed by Stan Britt (3rd[?] interview),03/07/1981,43 min. 19 sec.,a,,,Stan Britt collection,"Stan Britt interviews Dexter Gordon following his success with a ""hat-trick"" (as Dexter puts it) of prestigious awards. Stan asks Dexter about his move to Europe, and then adjusting back to life in the US on his return. Dexter also discusses the work of Stan Getz, John Coltrane, and other musicians he has collaborated with and been influenced by.","The interview is cut short at the end of the side, there does not appear to be any obvious continuation in the collection.",,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Gordon, Dexter, 1923-1990 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,"Hotel President, Russell Square, London, England, UK","Gordon, Dexter, 1923-1990","Coltrane, John, 1926-1967","Getz, Stan, 1927-1991",,,,,,,,
am     a,CKEY8221162,181023n                      000 0 eng u,C1645/66,,,Vic Ash interviewed by Stan Britt (1st interview),03/11/1981,45 min. 59 sec.,a,,,Stan Britt collection,"Interviewed by Stan Britt, Vic Ash enthuses about the music and career of Frank Sinatra.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Ash, Vic, 1930-2014 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,"Morshead Road, London, England, UK","Ash, Vic, 1930-2014","Sinatra, Frank, 1915-1998",,,,,,,,,
